symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
B3GNT7	0.19785830718037475	0.32546189131674375	No data	No data	No data	No data	No data	No data	No data	No data
STMN3	0.19768975300762598	0.32518463250141316	No data	No data	No data	No data	No data	No data	No data	No data
TBCEL	0.19734451034240916	0.3246167345324779	No data	No data	No data	No data	No data	No data	No data	No data
FLG2	0.21796568414899234	0.32454462387590766	No data	No data	No data	No data	No data	No data	No data	No data
GAL3ST2	0.19676326445225495	0.3236606291789776	No data	No data	No data	No data	No data	No data	No data	No data
LIME1	0.19579192162156947	0.32206284397957397	No data	No data	No data	No data	No data	No data	No data	No data
SLAMF1	0.19547611976166188	0.3169489683440863	No data	No data	No data	No data	No data	No data	No data	No data
RAPGEF4	0.1917341810642581	0.3153881688796234	No data	No data	No data	No data	No data	No data	No data	No data
THEM5	0.19056928265110173	0.3134719994443309	No data	No data	No data	No data	No data	No data	No data	No data
MSL3B	0.19047707061355568	0.3133203176445137	No data	No data	No data	No data	No data	No data	No data	No data
BATF	0.19138667958222097	0.31329672833450867	No data	No data	No data	No data	No data	No data	No data	No data
GRIK4	0.18839692477183667	0.3098986356868118	No data	No data	No data	No data	No data	No data	No data	No data
CSF2	0.1944681608381794	0.30951458695396417	No data	No data	No data	No data	No data	No data	No data	No data
RAD50	0.1881429968075213	0.3070492202766045	No data	No data	No data	No data	No data	No data	No data	No data
DMRTA1	0.18531575183738774	0.30483034017266125	No data	No data	No data	No data	No data	No data	No data	No data
DEXI	0.18450655565608579	0.3034992738991955	No data	No data	No data	No data	No data	No data	No data	No data
ACSL6	0.18152192507675405	0.2985897832284523	No data	No data	No data	No data	No data	No data	No data	No data
SH2D4A	0.17773229202530522	0.2923561246174111	No data	No data	No data	No data	No data	No data	No data	No data
ZGPAT	0.17832483510854272	0.29226693409988225	No data	No data	No data	No data	No data	No data	No data	No data
SPSB1	0.1762509516820607	0.2899194322355409	No data	No data	No data	No data	No data	No data	No data	No data
TCHHL1	0.17759794089295208	0.2890954732183303	No data	No data	No data	No data	No data	No data	No data	No data
NAB1	0.1746940199372779	0.2873583977380298	No data	No data	No data	No data	No data	No data	No data	No data
COMMD9	0.1629801315318979	0.2680899407830599	No data	No data	No data	No data	No data	No data	No data	No data
TARS2	0.1626521711880569	0.26755047092048767	No data	No data	No data	No data	No data	No data	No data	No data
TNFAIP3	0.16682412435966099	0.2651135334612999	No data	No data	No data	No data	No data	No data	No data	No data
TMEM232	0.16466587603729368	0.2651034107977883	No data	No data	No data	No data	No data	No data	No data	No data
AQP7	0.16089953225923004	0.2646675129658776	No data	No data	No data	No data	No data	No data	No data	No data
PFDN4	0.16034732559482381	0.2631512441360826	No data	No data	No data	No data	No data	No data	No data	No data
PEMT	0.15676814082185223	0.25787168776075753	No data	No data	No data	No data	No data	No data	No data	No data
DNAJB6	0.1656352927354528	0.257867140205603	No data	No data	No data	No data	No data	No data	No data	No data
ICE2	0.15605627314404064	0.2567007194850783	No data	No data	No data	No data	No data	No data	No data	No data
RRP15	0.15570976207127443	0.25613073508203843	No data	No data	No data	No data	No data	No data	No data	No data
ID2	0.15563497716403912	0.25600771958828633	No data	No data	No data	No data	No data	No data	No data	No data
VAX2	0.15524066386445143	0.25535910415189644	No data	No data	No data	No data	No data	No data	No data	No data
H3-7	0.15360689365030822	0.2526716762068708	No data	No data	No data	No data	No data	No data	No data	No data
SEC22B	0.153582739207124	0.25263194398195454	No data	No data	No data	No data	No data	No data	No data	No data
ZBTB1	0.15475312452288711	0.2515174849673395	No data	No data	No data	No data	No data	No data	No data	No data
SFRP2	0.15034841997347956	0.24587713962669244	No data	No data	No data	No data	No data	No data	No data	No data
GAPT	0.14615913048210621	0.240420671326937	No data	No data	No data	No data	No data	No data	No data	No data
PRUNE1	0.14404537989521843	0.236943712115145	No data	No data	No data	No data	No data	No data	No data	No data
AP5B1	0.14491581996103706	0.2338160389461154	No data	No data	No data	No data	No data	No data	No data	No data
MERTK	0.1425615277441787	0.23331012605537946	No data	No data	No data	No data	No data	No data	No data	No data
BCL2L11	0.14126216135209854	0.23084570195610057	No data	No data	No data	No data	No data	No data	No data	No data
RAD52	0.1398831827313103	0.23009721382905696	No data	No data	No data	No data	No data	No data	No data	No data
ARFRP1	0.1392390049126173	0.22903759023172676	No data	No data	No data	No data	No data	No data	No data	No data
SENP7	0.13894780109292515	0.2285585820603425	No data	No data	No data	No data	No data	No data	No data	No data
DSC3	0.13890684978432552	0.22849122026725596	No data	No data	No data	No data	No data	No data	No data	No data
SIK3	0.13762290840631036	0.22637923419407235	No data	No data	No data	No data	No data	No data	No data	No data
EVI5	0.13762038612291355	0.2263750852294094	No data	No data	No data	No data	No data	No data	No data	No data
ZBTB25	0.1372288043791442	0.2257309629949252	No data	No data	No data	No data	No data	No data	No data	No data
KCND2	0.13195391676409218	0.21705417340674266	No data	No data	No data	No data	No data	No data	No data	No data
TDRKH	0.1319432108275782	0.21703656295411217	No data	No data	No data	No data	No data	No data	No data	No data
SRP54	0.13065611131761348	0.21491938199367822	No data	No data	No data	No data	No data	No data	No data	No data
EPS8L3	0.12974459752015974	0.21342001101093677	No data	No data	No data	No data	No data	No data	No data	No data
TPD52	0.12959625159814708	0.21317599323359193	No data	No data	No data	No data	No data	No data	No data	No data
FOXC1	0.1291730607689326	0.21247987645372637	No data	No data	No data	No data	No data	No data	No data	No data
PVALB	0.12904077856982507	0.21226228228079222	No data	No data	No data	No data	No data	No data	No data	No data
PPIAL4G	0.12826093039801753	0.2109794912544594	No data	No data	No data	No data	No data	No data	No data	No data
DUSP22	0.12742878821468206	0.20961068055000964	No data	No data	No data	No data	No data	No data	No data	No data
GALNT5	0.1270805237969891	0.20903781202770216	No data	No data	No data	No data	No data	No data	No data	No data
FGF2	0.1269977510470896	0.20890165713930914	No data	No data	No data	No data	No data	No data	No data	No data
CRAT	0.12745999685801143	0.2084182121673284	No data	No data	No data	No data	No data	No data	No data	No data
BAZ1A	0.12527630915027768	0.20607001593347624	No data	No data	No data	No data	No data	No data	No data	No data
TSPAN12	0.12472906176787497	0.20516983554361498	No data	No data	No data	No data	No data	No data	No data	No data
MTRFR	0.12411439562271315	0.20415875640833073	No data	No data	No data	No data	No data	No data	No data	No data
