cell_id,group
aimkdpal-1,TRM_IL17+
aimpgmaj-1,KC1
aindflke-1,KC1-2_cycling
ainhchbi-1,KC1
ainjghjd-1,Treg
ainmclme-1,KC3
ainoaaap-1,KC1
ainpdgga-1,KC3
aiochnhe-1,KC1
aipeojmk-1,Melanocyte
aipjmnmk-1,KC3
aipohflb-1,KC3
aipoobfl-1,KC1
ajacgekc-1,KC1
ajanieib-1,KC1
ajcaflof-1,KC1
ajcbfeie-1,KC2/3_cycling
ajcjnckc-1,KC3
ajcmmded-1,KC1
ajcpcolp-1,KC3
ajdckfeg-1,KC2/3_cycling
ajddheec-1,KC1
ajdiibjl-1,KC1
ajdnkolh-1,KC3
ajdnohfk-1,Melanocyte
ajdojacn-1,KC1
ajeabfhp-1,KC3
ajebangk-1,Pericyte1
ajfaihma-1,cDC2: MMP12hi
ajfbcefc-1,Mac2
ajfdkkaj-1,Mac2
ajfiehcb-1,cDC
ajfinabg-1,Th
ajfnmcme-1,ILC3
ajfoljom-1,LE
ajfpkcph-1,VE3_Ven
ajfpledn-1,Th
ajgbeipg-1,KC1
ajgbggpm-1,KC1
ajghpcah-1,KC1
ajgjjbni-1,KC1
ajhailhb-1,Melanocyte
ajhcdlnp-1,KC1
ajhimhpo-1,KC1
ajhkkdmd-1,KC1
ajhmncof-1,KC1
ajidkigk-1,KC1-2_cycling
ajiicgfa-1,KC1
ajijhiff-1,KC1
ajijmjac-1,KC3
ajjjbgkn-1,KC1
ajjlefjn-1,KC3
ajjooifg-1,KC1
ajkbjmid-1,KC1
ajkbmjdl-1,KC2/3_cycling
ajkeagle-1,KC1-2_cycling
ajkebdbn-1,KC3
ajklfhbl-1,KC3
ajkmklaa-1,KC3
ajldcjdc-1,KC1
ajlfondl-1,KC1
ajllegec-1,KC1
ajlpblgm-1,KC3
ajlpjimp-1,KC1-2_cycling
ajmnghkn-1,KC1
ajnjbmjo-1,Melanocyte
ajnlajjk-1,KC1
ajnmnnah-1,KC1
ajnnmphl-1,KC3
ajnoodgh-1,KC3
ajoabgmp-1,KC1
ajogblfa-1,KC3
ajogpapm-1,KC3
ajomdegp-1,KC1
ajomeefk-1,KC3
ajonomim-1,KC3
ajopcaam-1,KC1
ajpedomg-1,KC1
ajpgdpbk-1,KC5
ajplcpmo-1,KC3
akabokel-1,KC5
akbcaeig-1,KC3
akbfeehl-1,KC3
akbgdckl-1,KC1
akbihgic-1,KC3
akbnfgoc-1,KC3
akcgmlpc-1,KC3
akchomec-1,KC3
akciamip-1,KC3
akcjhllo-1,KC5
akcjjlgp-1,KC3
akcnnebh-1,KC3
akcolpia-1,KC3
akdaiiol-1,KC3
akdbieeb-1,KC3
akddafko-1,KC3
akdepgfi-1,KC3
akdffgii-1,KC3
akdgbfgf-1,KC3
akdgfjfg-1,KC3
akdhacmc-1,KC5
akdndmmj-1,KC1
akebpagl-1,KC1
akeckeel-1,KC3
akejeefn-1,KC1
akeojjdl-1,KC1
akfbmbcm-1,KC1
akfedfon-1,KC1
akfeiahe-1,KC1
akfeppmp-1,KC
akfeppom-1,KC3
akfgdnhi-1,KC3
akfhnndi-1,KC1
akfilcal-1,KC1
akgagmen-1,KC1
akgcnpih-1,KC3
akgdfgcp-1,KC1
akgdppcd-1,KC1
akgellde-1,KC3
akghdffh-1,KC3
akgkmkfd-1,KC1
akgpdjaj-1,KC3
akhglcpe-1,KC3
akhmeljd-1,KC1
akhnjdcn-1,KC1
akhpoekb-1,KC5
akiallih-1,KC5
akibfnkc-1,KC3
akifkpne-1,KC
akinnonb-1,KC3
akjbfdie-1,KC3
akjcaldb-1,KC3
akjddfhi-1,KC1
akjklgma-1,KC3
akjofnea-1,KC3
akjopecn-1,KC3
akkckecb-1,KC1
akkdhncj-1,KC3
akkfhfmn-1,KC3
akkjoinc-1,KC3
akklemgh-1,KC1
aklfnghn-1,KC1
akllbklh-1,KC1
aklomaod-1,KC3
akmalahh-1,KC3
akmdhdfh-1,KC1-2_cycling
akmelaci-1,KC3
akmgbfdk-1,KC3
akmihghk-1,KC1
aknbchno-1,KC1
aknenodo-1,KC1
aknhokjj-1,KC1
aknlnhco-1,KC1
aknocbnm-1,KC1
akoeboha-1,T
akogdnkb-1,cDC1
akoicpif-1,Th
akpbddjf-1,T
akpgielb-1,KC1
akpgiicm-1,KC1
akponpch-1,KC1-2_cycling
alaaoolk-1,TRM_IL17+
aladehjh-1,KC1
alaggjca-1,Mast cell
albcbfcj-1,F1: Superficial
albdedhc-1,KC3
albkopbj-1,KC3
albnoema-1,KC3
albogfhe-1,KC3
albpmcdn-1,KC3
alcdjedk-1,KC3
alcdneem-1,KC3
alchdjkm-1,KC1-2_cycling
alckicoe-1,KC3
aldblken-1,KC2/3_cycling
aldcbehn-1,KC3
aldfkpgi-1,KC1
aldjojfh-1,KC2/3_cycling
aldngkio-1,KC1
aldpjnnp-1,KC1
aleeefea-1,KC3
alefofce-1,KC3
aleiigea-1,KC1
alelofpm-1,KC
alenlpma-1,KC3
alephgab-1,KC3
alepomdl-1,KC3
alfhppcc-1,KC3
alfolajf-1,KC3
algcgpje-1,Pericyte1
alghcopp-1,F1: Superficial
alglmfgp-1,F1: Superficial
alhaland-1,VE3_Ven
alhlifbf-1,VE3_Ven
alhnfefp-1,KC1
alhpfpnj-1,Treg_LRRC32+
aliadjfk-1,F1: Superficial
alickpmj-1,F1: Superficial
alidobip-1,KC3
alikmmme-1,Melanocyte
aliknkmj-1,KC1
alilinel-1,KC1
alimllnm-1,KC1
alipmepd-1,KC1
aljpfelp-1,KC3
alkbkeak-1,KC2/3_cycling
alkdbhcp-1,KC1
alkmeblk-1,cDC
alkmoice-1,KC3
alkodcnf-1,KC2/3_cycling
allbnbed-1,KC1
allekhan-1,KC1
allfhbmn-1,KC3
alljoimb-1,Melanocyte
allmhmll-1,KC3
allojlbl-1,KC1
almbkhgg-1,KC1
almfemim-1,KC1
almfledp-1,KC1
almnadjm-1,KC1
almocgge-1,KC1
alnamcci-1,KC3
alnenfpc-1,KC3
alnncnmf-1,KC3
alnojkgf-1,KC3
alnomafm-1,KC1
aloinjjf-1,Melanocyte
aloipecn-1,KC3
alojpfcb-1,KC3
alokedjn-1,Melanocyte
alomgcdi-1,KC3
alopimal-1,KC
alpfaind-1,KC3
alphecoi-1,KC5
alphkneg-1,KC3
amafcmli-1,KC
amaoocgn-1,KC
amapckgj-1,KC3
ambbegfj-1,KC
ambjlpgo-1,KC3
ambjmofd-1,KC3
ambnbgok-1,T
ambokcgp-1,KC3
ambpclig-1,KC1
amcaiiel-1,KC1
amcdbini-1,KC3
amcdoigh-1,KC3
amcfmadj-1,KC3
amcjpokn-1,KC3
amcknflg-1,KC3
amcljgcn-1,KC3
amclnlhi-1,KC1
amcnpihb-1,KC1
amcpajcf-1,KC3
amdhookd-1,KC1
amdneaji-1,KC3
amegmebh-1,KC3
amemnjfd-1,KC3
ameomgpn-1,KC1
amfbaadg-1,TRM_IL17+
amfgbgoj-1,KC3
amfgmkfn-1,KC3
amfjeffl-1,KC1
amglhkla-1,cDC2
amgnmmmf-1,F1: Superficial
amgnnngg-1,KC1
amgojjbo-1,KC1
amgpdpip-1,F1: Superficial
amgpkmdi-1,Melanocyte
amhdemog-1,KC1
amhljaal-1,KC1
amhonnhh-1,KC1
amiaehbe-1,KC3
amifondd-1,KC1
amihblja-1,LC
amijhpoi-1,KC3
amijonej-1,KC3
